,date,manner_of_death,age,city,state,threat_level,flee,body_camera,poverty_rate,Median Income_x,percent_completed_hs_x,gender_M,race_B,race_H,race_N,race_P,race_W,armed_unarmed,armed_undetermined,signs_of_mental_illness_True,Age_range_20 - 35,Age_range_36 - 49,Age_range_50 - 64,Age_range_Over 65,Age_range_Under 12,daysofweek_Monday,daysofweek_Saturday,daysofweek_Sunday,daysofweek_Thursday,daysofweek_Tuesday,daysofweek_Wednesday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,year_2014,year_2015,year_2016,year_2017,year_2018,refined_cities,Geographic Area,City_x,Median Income_y,city_refind,City_y,share_white,share_black,share_native_american,share_asian,share_hispanic,sum,City,percent_completed_hs_y
5363,2013-05-29,Gunshot,34,washington,DC,,,,18,70848,89.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,washington,,,70848,,,0.38,0.5,0,0.03,0.09,,,89.3
3616,2015-03-08,shot,35,claymont,DE,attack,fleeing,False,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,claymont,DE,,,claymont,,,,,,,,Claymont,87.6
3916,2014-11-14,Gunshot,41,claymont,DE,,,,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,claymont,DE,,,claymont,,,,,,,,Claymont,87.6
932,2017-12-09,shot,16,dover,DE,attack,Not fleeing,False,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,dover,DE,dover city,45363,dover,Dover city,0,0.42,0,0.03,0.07,100.3,Dover city,87.3
3818,2014-12-21,Gunshot,52,dover,DE,,,,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dover,DE,dover city,45363,dover,Dover city,0,0.42,0,0.03,0.07,100.3,Dover city,87.3
2302,2016-06-27,shot,25,frederica,DE,no_attack,fleeing,False,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,frederica,DE,frederica town,58000,frederica,Frederica town,0.01,0.19,0,0.01,0.13,101.00000000000001,Frederica town,81.5
4296,2014-06-25,Gunshot,29,magnolia,DE,,,,12.56,61792.41,88.52,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,magnolia,DE,magnolia town,40694,magnolia,Magnolia town,0.01,0.12,0.04,0,0.04,98.2,Magnolia town,93.5
1512,2017-04-27,shot,26,middletown,DE,attack,Not fleeing,False,12.56,61792.41,88.52,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,middletown,DE,middletown town,84451,middletown,Middletown town,0.01,0.28,0,0.04,0.07,101.7,Middletown town,93.3
4811,2013-12-14,Gunshot,58,milford,DE,,,,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,milford,DE,milford city,45368,milford,Milford city,0.01,0.21,0,0.01,0.15,104.8,Milford city,85.8
1572,2017-03-29,shot,28,new castle,DE,no_attack,fleeing,False,12.56,61792.41,88.52,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,new castle,DE,new castle city,56307,new castle,New Castle city,0.01,0.27,0,0.01,0.05,101.4,New Castle city,88.8
3454,2015-05-02,shot,52,smyrna,DE,attack,Not fleeing,True,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,smyrna,DE,smyrna town,54217,smyrna,Smyrna town,0.01,0.29,0,0.02,0.06,99.9,Smyrna town,89.9
924,2017-12-15,shot,30,wilmington,DE,no_attack,fleeing,False,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,wilmington,DE,wilmington city,40465,wilmington,Wilmington city,0,0.56,0,0.01,0.12,104.4,Wilmington city,83.2
1536,2017-04-19,shot,21,wilmington,DE,attack,fleeing,True,12.56,61792.41,88.52,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,wilmington,DE,wilmington city,40465,wilmington,Wilmington city,0,0.56,0,0.01,0.12,104.4,Wilmington city,83.2
1769,2017-01-23,shot,60,wilmington,DE,no_attack,Not fleeing,False,12.56,61792.41,88.52,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,wilmington,DE,wilmington city,40465,wilmington,Wilmington city,0,0.56,0,0.01,0.12,104.4,Wilmington city,83.2
3054,2015-09-23,shot,28,wilmington,DE,no_attack,Not fleeing,False,12.56,61792.41,88.52,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,wilmington,DE,wilmington city,40465,wilmington,Wilmington city,0,0.56,0,0.01,0.12,104.4,Wilmington city,83.2
4324,2014-06-15,Gunshot,34,altamonte springs,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,altamonte springs,FL,altamonte springs city,48542,altamonte springs,Altamonte Springs city,0.01,0.12,0,0.03,0.21,114.3,Altamonte Springs city,93.2
656,2018-03-21,shot,25,amelia island,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,amelia island,,,,,,,,,,,,,
317,2018-08-02,shot,18,apopka,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,apopka,FL,apopka city,58885,apopka,Apopka city,0,0.18,0,0.03,0.22,113.9,Apopka city,86.6
3064,2015-09-21,shot,34,auburndale,FL,no_attack,fleeing,False,17.57,50262.69,85.74,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,auburndale,FL,auburndale city,41827,auburndale,Auburndale city,0.01,0.12,0,0.01,0.12,107.5,Auburndale city,81.1
3063,2015-09-21,shot,26,barberville,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,barberville,,,,,,,,,,,,,
2751,2016-01-16,shot,19,belle glade,FL,attack,fleeing,False,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,belle glade,FL,belle glade city,30303,belle glade,Belle Glade city,0,0.46,0,0,0.28,122.30000000000001,Belle Glade city,63.6
4225,2014-07-23,Gunshot,29,belle isle,FL,,,,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,belle isle,FL,belle isle city,73957,belle isle,Belle Isle city,0.01,0.03,0,0.02,0.1,107.6,Belle Isle city,95.8
255,2018-08-30,shot,45,beverly hills,FL,attack,Not fleeing,False,17.57,50262.69,85.74,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,beverly hills,FL,,,beverly hills,,,,,,,,Beverly Hills,85.7
4548,2014-04-02,Gunshot,28,boca raton,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,boca raton,FL,boca raton city,70638,boca raton,Boca Raton city,0.01,0.05,0,0.02,0.11,108.20000000000002,Boca Raton city,96
4966,2013-10-20,Gunshot,41,boca raton,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,boca raton,FL,boca raton city,70638,boca raton,Boca Raton city,0.01,0.05,0,0.02,0.11,108.20000000000002,Boca Raton city,96
5551,2013-03-08,Gunshot,20,boca raton,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,boca raton,FL,boca raton city,70638,boca raton,Boca Raton city,0.01,0.05,0,0.02,0.11,108.20000000000002,Boca Raton city,96
5175,2013-07-29,Gunshot,40,bonita springs,FL,,,,17.57,50262.69,85.74,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,bonita springs,FL,bonita springs city,53955,bonita springs,Bonita Springs city,0.01,0.01,0,0.01,0.2,113.6,Bonita Springs city,84.1
4882,2013-11-18,Gunshot,55,boynton beach,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,boynton beach,FL,boynton beach city,46178,boynton beach,Boynton Beach city,0.01,0.28,0,0.02,0.12,108,Boynton Beach city,86.8
810,2018-01-23,shot,38,bradenton,FL,no_attack,fleeing,False,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,bradenton,FL,bradenton city,40227,bradenton,Bradenton city,0.01,0.15,0,0.01,0.16,107.6,Bradenton city,84.9
1557,2017-04-06,shot,68,bradenton,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,bradenton,FL,bradenton city,40227,bradenton,Bradenton city,0.01,0.15,0,0.01,0.16,107.6,Bradenton city,84.9
2661,2016-02-14,shot,50,bradenton,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,bradenton,FL,bradenton city,40227,bradenton,Bradenton city,0.01,0.15,0,0.01,0.16,107.6,Bradenton city,84.9
3885,2014-11-23,Gunshot,50,bradenton,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,bradenton,FL,bradenton city,40227,bradenton,Bradenton city,0.01,0.15,0,0.01,0.16,107.6,Bradenton city,84.9
4109,2014-08-28,Gunshot,31,bradenton,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bradenton,FL,bradenton city,40227,bradenton,Bradenton city,0.01,0.15,0,0.01,0.16,107.6,Bradenton city,84.9
4511,2014-04-14,Gunshot,24,bradenton,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bradenton,FL,bradenton city,40227,bradenton,Bradenton city,0.01,0.15,0,0.01,0.16,107.6,Bradenton city,84.9
5326,2013-06-08,Gunshot,40,bradenton,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,bradenton,FL,bradenton city,40227,bradenton,Bradenton city,0.01,0.15,0,0.01,0.16,107.6,Bradenton city,84.9
4633,2014-03-04,Gunshot,41,brandon,FL,,,,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,brandon,FL,,56464,brandon,,0.64,0.14,0,0.03,0.19,,Brandon,91.7
5410,2013-05-14,Gunshot,50,brandon,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,brandon,FL,,56464,brandon,,0.64,0.14,0,0.03,0.19,,Brandon,91.7
1132,2017-09-22,shot,44,brooksville,FL,attack,fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brooksville,FL,brooksville city,30392,brooksville,Brooksville city,0.01,0.18,0,0.01,0.06,102.80000000000001,Brooksville city,82.2
1670,2017-02-20,shot and Tasered,26,brooksville,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,brooksville,FL,brooksville city,30392,brooksville,Brooksville city,0.01,0.18,0,0.01,0.06,102.80000000000001,Brooksville city,82.2
2806,2015-12-22,shot,29,brooksville,FL,no_attack,fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,brooksville,FL,brooksville city,30392,brooksville,Brooksville city,0.01,0.18,0,0.01,0.06,102.80000000000001,Brooksville city,82.2
4451,2014-05-08,Gunshot,69,brooksville,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,brooksville,FL,brooksville city,30392,brooksville,Brooksville city,0.01,0.18,0,0.01,0.06,102.80000000000001,Brooksville city,82.2
4159,2014-08-13,Gunshot,24,bunnell,FL,,,,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bunnell,FL,bunnell city,31316,bunnell,Bunnell city,0.01,0.31,0.01,0,0.05,101.3,Bunnell city,85
1424,2017-06-04,shot,27,callahan,FL,attack,,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,callahan,FL,callahan town,25641,callahan,Callahan town,0.01,0.07,0,0.01,0.02,99.9,Callahan town,81.2
1566,2017-04-01,shot,34,cantonment,FL,attack,fleeing,False,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,cantonment,,,,,,,,,,,,,
1596,2017-03-19,shot,19,cape canaveral,FL,attack,fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,cape canaveral,FL,cape canaveral city,44802,cape canaveral,Cape Canaveral city,0.01,0.02,0,0.02,0.06,103.10000000000001,Cape Canaveral city,93.4
2369,2016-06-05,shot,31,cape coral,FL,no_attack,fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,cape coral,FL,cape coral city,50536,cape coral,Cape Coral city,0.01,0.04,0,0.01,0.17,113.8,Cape Coral city,90.4
2970,2015-10-24,shot,34,cape coral,FL,attack,Not fleeing,True,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,cape coral,FL,cape coral city,50536,cape coral,Cape Coral city,0.01,0.04,0,0.01,0.17,113.8,Cape Coral city,90.4
5277,2013-06-24,Gunshot,47,cape coral,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,cape coral,FL,cape coral city,50536,cape coral,Cape Coral city,0.01,0.04,0,0.01,0.17,113.8,Cape Coral city,90.4
3539,2015-03-31,shot,36,carollwood,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,carollwood,,,,,,,,,,,,,
4606,2014-03-11,Gunshot,40,chipley,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,chipley,FL,chipley city,30907,chipley,Chipley city,0.01,0.27,0.01,0.01,0.03,99.89999999999999,Chipley city,78.2
495,2018-05-24,shot,30,citra,FL,attack,fleeing,True,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,citra,,,,,,,,,,,,,
11,2018-12-26,shot,35,clearwater,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,clearwater,FL,clearwater city,44198,clearwater,Clearwater city,0.01,0.1,0,0.02,0.13,107.5,Clearwater city,89.3
1063,2017-10-19,shot,34,clearwater,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,clearwater,FL,clearwater city,44198,clearwater,Clearwater city,0.01,0.1,0,0.02,0.13,107.5,Clearwater city,89.3
4429,2014-05-16,Gunshot,36,clearwater,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,clearwater,FL,clearwater city,44198,clearwater,Clearwater city,0.01,0.1,0,0.02,0.13,107.5,Clearwater city,89.3
4940,2013-10-26,Gunshot,69,clearwater,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,clearwater,FL,clearwater city,44198,clearwater,Clearwater city,0.01,0.1,0,0.02,0.13,107.5,Clearwater city,89.3
3472,2015-04-25,shot,58,clermont,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,clermont,FL,clermont city,51938,clermont,Clermont city,0.01,0.13,0,0.04,0.16,108.50000000000001,Clermont city,92.3
3345,2015-06-14,shot,15,cocoa,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,cocoa,FL,cocoa city,30517,cocoa,Cocoa city,0.01,0.3,0,0.01,0.11,103.39999999999999,Cocoa city,83.1
3613,2015-03-09,shot,30,cocoa,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,cocoa,FL,cocoa city,30517,cocoa,Cocoa city,0.01,0.3,0,0.01,0.11,103.39999999999999,Cocoa city,83.1
3804,2014-12-26,Gunshot,23,cocoa,FL,,,,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cocoa,FL,cocoa city,30517,cocoa,Cocoa city,0.01,0.3,0,0.01,0.11,103.39999999999999,Cocoa city,83.1
749,2018-02-16,shot,59,cocoa beach,FL,no_attack,,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,cocoa beach,FL,cocoa beach city,53844,cocoa beach,Cocoa Beach city,0.01,0.01,0,0.01,0.03,101.5,Cocoa Beach city,96.3
940,2017-12-06,shot,71,coral springs,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,coral springs,FL,coral springs city,66430,coral springs,Coral Springs city,0.01,0.15,0,0.04,0.2,115.89999999999999,Coral Springs city,92.3
1324,2017-07-08,shot,23,crescent city,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,crescent,FL,crescent city city,26202,crescent,Crescent City city,0.01,0.29,0,0,0.16,107.80000000000001,Crescent City city,71
4772,2014-01-02,Gunshot,33,crestview,FL,,,,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,crestview,FL,crestview city,51407,crestview,Crestview city,0.01,0.19,0,0.03,0.07,100.19999999999999,Crestview city,92.6
1307,2017-07-13,shot,47,crystal springs,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,crystal springs,FL,,,crystal springs,,,,,,,,Crystal Springs,66
409,2018-06-29,shot,54,dade city,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,dade,FL,dade city city,31497,dade,Dade City city,0.01,0.19,0,0,0.19,109.1,Dade City city,78.8
4054,2014-09-20,Gunshot,52,daytona beach,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,daytona beach,FL,daytona beach city,27901,daytona beach,Daytona Beach city,0.01,0.35,0,0.02,0.06,102.1,Daytona Beach city,86.3
1597,2017-03-19,shot,45,deland,FL,no_attack,fleeing,False,17.57,50262.69,85.74,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,deland,FL,deland city,39382,deland,DeLand city,0.01,0.16,0,0.02,0.12,106.5,DeLand city,87.4
1726,2017-02-04,shot,56,deland,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,deland,FL,deland city,39382,deland,DeLand city,0.01,0.16,0,0.02,0.12,106.5,DeLand city,87.4
2383,2016-05-29,shot,32,deland,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,deland,FL,deland city,39382,deland,DeLand city,0.01,0.16,0,0.02,0.12,106.5,DeLand city,87.4
311,2018-08-04,shot,38,delray beach,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,delray beach,FL,delray beach city,50136,delray beach,Delray Beach city,0.01,0.27,0,0.02,0.09,105.2,Delray Beach city,85.5
1583,2017-03-26,shot,56,delray beach,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,delray beach,FL,delray beach city,50136,delray beach,Delray Beach city,0.01,0.27,0,0.02,0.09,105.2,Delray Beach city,85.5
3809,2014-12-24,Gunshot,21,delray beach,FL,,,,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,delray beach,FL,delray beach city,50136,delray beach,Delray Beach city,0.01,0.27,0,0.02,0.09,105.2,Delray Beach city,85.5
4693,2014-02-04,Gunshot,28,delray beach,FL,,,,17.57,50262.69,85.74,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,delray beach,FL,delray beach city,50136,delray beach,Delray Beach city,0.01,0.27,0,0.02,0.09,105.2,Delray Beach city,85.5
1357,2017-06-29,shot,37,deltona,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,deltona,FL,deltona city,42077,deltona,Deltona city,0.01,0.09,0,0.01,0.25,119.60000000000001,Deltona city,88.2
1607,2017-03-16,shot,58,deltona,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,deltona,FL,deltona city,42077,deltona,Deltona city,0.01,0.09,0,0.01,0.25,119.60000000000001,Deltona city,88.2
2812,2015-12-21,shot,39,deltona,FL,attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,deltona,FL,deltona city,42077,deltona,Deltona city,0.01,0.09,0,0.01,0.25,119.60000000000001,Deltona city,88.2
3625,2015-03-04,shot,26,deltona,FL,no_attack,Not fleeing,False,17.57,50262.69,85.74,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,deltona,FL,deltona city,42077,deltona,Deltona city,0.01,0.09,0,0.01,0.25,119.60000000000001,Deltona city,88.2
480,2018-06-01,shot,21,dundee,FL,attack,,False,17.57,50262.69,85.74,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,dundee,FL,dundee town,40131,dundee,Dundee town,0.01,0.23,0.01,0.02,0.19,109.39999999999999,Dundee town,80.3
