,date,manner_of_death,age,city,state,threat_level,flee,body_camera,poverty_rate,Median Income_x,percent_completed_hs_x,gender_M,race_B,race_H,race_N,race_P,race_W,armed_unarmed,armed_undetermined,signs_of_mental_illness_True,Age_range_20 - 35,Age_range_36 - 49,Age_range_50 - 64,Age_range_Over 65,Age_range_Under 12,daysofweek_Monday,daysofweek_Saturday,daysofweek_Sunday,daysofweek_Thursday,daysofweek_Tuesday,daysofweek_Wednesday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,year_2014,year_2015,year_2016,year_2017,year_2018,refined_cities,Geographic Area,City_x,Median Income_y,city_refind,City_y,share_white,share_black,share_native_american,share_asian,share_hispanic,sum,City,percent_completed_hs_y
3097,2015-09-08,shot,19,fairbanks,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,fairbanks,AK,fairbanks city,55229,fairbanks,Fairbanks city,0.01,0.09,0.1,0.04,0.09,97.69999999999999,Fairbanks city,91.2
5276,2013-06-24,Gunshot,26,fairview,AK,,,,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,fairview,,,82858,,,0.88,0.01,0.06,0.01,0.04,,,91.2
5506,2013-04-05,Gunshot,27,fairview,AK,,,,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fairview,,,82858,,,0.88,0.01,0.06,0.01,0.04,,,91.2
2644,2016-02-21,shot,38,houston,AK,attack,Not fleeing,False,19.85,52099.59,84.63,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,houston,AK,houston city,50438,houston,Houston city,0.01,0,0.07,0.01,0.04,93.2,Houston city,90.2
2974,2015-10-24,shot,49,kenai peninsula,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,kenai peninsula,,,62236,,,0.84,0.01,0.09,0.02,0.05,,,89.7
5687,2013-01-11,Gunshot,25,little rock,AK,,,,19.85,52099.59,84.63,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,little rock,,,,,,,,,,,,,
643,2018-03-24,shot,42,nikolaevsk,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,nikolaevsk,AK,,23125,nikolaevsk,,0.93,0,0.03,0,0.04,,Nikolaevsk,84.8
413,2018-06-29,shot,36,north pole,AK,no_attack,,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,north pole,AK,north pole city,70536,north pole,North Pole city,0.01,0.05,0.03,0.04,0.06,98.5,North Pole city,92.1
79,2018-11-22,shot,20,palmer,AK,no_attack,fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,palmer,AK,palmer city,61797,palmer,Palmer city,0.01,0.02,0.1,0.01,0.05,95.79999999999998,Palmer city,91.3
692,2018-03-08,shot,27,pilot station,AK,attack,fleeing,False,19.85,52099.59,84.63,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,pilot station,AK,pilot station city,33125,pilot station,Pilot Station city,0,0,0.98,0,0,99.89999999999999,Pilot Station city,72.6
1111,2017-10-01,shot,41,seward,AK,no_attack,fleeing,True,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,seward,AK,seward city,53750,seward,Seward city,0.01,0.03,0.18,0.03,0.04,94.3,Seward city,93.9
2758,2016-01-12,shot,49,spenard,AK,no_attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,spenard,,,,,,,,,,,,,
284,2018-08-16,shot,30,wasilla,AK,attack,Not fleeing,False,19.85,52099.59,84.63,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,wasilla,AK,wasilla city,61541,wasilla,Wasilla city,0.01,0.01,0.05,0.02,0.04,96.4,Wasilla city,91.8
1582,2017-03-26,shot,36,wasilla,AK,attack,fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,wasilla,AK,wasilla city,61541,wasilla,Wasilla city,0.01,0.01,0.05,0.02,0.04,96.4,Wasilla city,91.8
2373,2016-06-03,shot,33,wasilla,AK,no_attack,Not fleeing,False,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,wasilla,AK,wasilla city,61541,wasilla,Wasilla city,0.01,0.01,0.05,0.02,0.04,96.4,Wasilla city,91.8
4067,2014-09-15,Gunshot,23,wasilla,AK,,,,19.85,52099.59,84.63,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,wasilla,AK,wasilla city,61541,wasilla,Wasilla city,0.01,0.01,0.05,0.02,0.04,96.4,Wasilla city,91.8
4612,2014-03-09,Gunshot,52,wasilla,AK,,,,19.85,52099.59,84.63,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,wasilla,AK,wasilla city,61541,wasilla,Wasilla city,0.01,0.01,0.05,0.02,0.04,96.4,Wasilla city,91.8
1428,2017-06-02,shot,29,abbeville,AL,attack,Not fleeing,False,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,abbeville,AL,abbeville city,25615,abbeville,Abbeville city,0.01,0.41,0,0.01,0.03,99.99999999999999,Abbeville city,69.1
4618,2014-03-08,Gunshot,21,alexander city,AL,,,,20.65,40577.31,80.3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,alexander,AL,alexander city city,29874,alexander,Alexander City city,0.01,0.32,0,0.01,0.05,100.10000000000001,Alexander City city,78.1
