,date,age,city,state,threat_level,flee,body_camera,gender,race,armed,signs_of_mental_illness,Age_range,daysofweek,year,Median Income,share_white,share_black,share_native_american,share_asian,share_hispanic,percent_completed_hs,poverty_rate,month
973,2013-05-01,59,paris,TX,threat,not_fleeing,False,Male,B,unarmed,False,50 - 64,Wednesday,2013,32025.0,0.67,0.23,0.01,0.01,0.08,84.1,25.6,May
974,2013-06-11,23,beloit,WI,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Tuesday,2013,37500.0,0.67,0.15,0.0,0.01,0.17,80.8,25.6,June
975,2015-12-22,61,ludlow,KY,threat,not_fleeing,True,Male,W,armed,False,50 - 64,Tuesday,2015,44246.0,0.97,0.01,0.0,0.0,0.02,86.2,25.5,December
976,2018-03-03,41,gulfport,MS,threat,not_fleeing,False,Male,B,unarmed,False,36 - 49,Saturday,2018,36474.0,0.57,0.36,0.0,0.02,0.05,84.5,25.5,March
977,2018-02-03,49,gulfport,MS,threat,flee,False,Male,W,armed,False,36 - 49,Saturday,2018,36474.0,0.57,0.36,0.0,0.02,0.05,84.5,25.5,February
978,2017-11-20,15,gulfport,MS,no_threat,not_fleeing,False,Male,W,armed,False,13 - 19,Monday,2017,36474.0,0.57,0.36,0.0,0.02,0.05,84.5,25.5,November
979,2015-02-26,49,gulfport,MS,no_threat,not_fleeing,False,Male,W,armed,False,36 - 49,Thursday,2015,36474.0,0.57,0.36,0.0,0.02,0.05,84.5,25.5,February
980,2014-06-13,61,gulfport,MS,threat,not_fleeing,False,Male,B,unarmed,False,50 - 64,Friday,2014,36474.0,0.57,0.36,0.0,0.02,0.05,84.5,25.5,June
981,2015-08-07,53,superior,MT,no_threat,flee,False,Male,W,armed,False,50 - 64,Friday,2015,22069.0,0.94,0.01,0.01,0.02,0.02,89.2,25.5,August
982,2016-07-24,29,gallup,NM,no_threat,not_fleeing,False,Male,N,armed,True,20 - 35,Sunday,2016,46467.0,0.31,0.01,0.38,0.02,0.28,79.9,25.5,July
983,2018-12-05,33,richmond,VA,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Wednesday,2018,40758.0,0.42,0.5,0.0,0.02,0.06,83.2,25.5,December
984,2018-05-14,24,richmond,VA,threat,flee,False,Male,B,unarmed,False,20 - 35,Monday,2018,40758.0,0.42,0.5,0.0,0.02,0.06,83.2,25.5,May
985,2017-07-25,23,richmond,VA,no_threat,flee,False,Male,W,armed,True,20 - 35,Tuesday,2017,40758.0,0.42,0.5,0.0,0.02,0.06,83.2,25.5,July
986,2017-05-15,29,richmond,VA,no_threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Monday,2017,40758.0,0.42,0.5,0.0,0.02,0.06,83.2,25.5,May
987,2016-03-31,34,richmond,VA,threat,not_fleeing,False,Male,B,unarmed,False,20 - 35,Thursday,2016,40758.0,0.42,0.5,0.0,0.02,0.06,83.2,25.5,March
988,2015-08-05,20,richmond,VA,threat,flee,False,Male,B,unarmed,False,20 - 35,Wednesday,2015,40758.0,0.42,0.5,0.0,0.02,0.06,83.2,25.5,August
989,2015-08-21,57,grapeview,WA,threat,not_fleeing,False,Male,W,armed,True,50 - 64,Friday,2015,59315.28,0.7,0.05,0.01,0.07,0.15,90.1,25.5,August
990,2014-12-23,18,berkeley,MO,threat,not_fleeing,False,Male,B,unarmed,False,13 - 19,Tuesday,2014,33776.0,0.15,0.82,0.0,0.0,0.03,87.0,25.4,December
991,2014-01-07,40,moriarty,NM,threat,not_fleeing,False,Male,W,armed,False,36 - 49,Tuesday,2014,29144.0,0.59,0.01,0.02,0.01,0.37,82.0,25.4,January
992,2017-01-07,42,fairland,OK,threat,flee,False,Male,W,armed,False,36 - 49,Saturday,2017,36750.0,0.74,0.0,0.24,0.0,0.02,86.6,25.4,January
993,2015-01-17,21,muskogee,OK,threat,flee,True,Male,B,unarmed,False,20 - 35,Saturday,2015,34894.0,0.59,0.17,0.16,0.01,0.07,84.5,25.4,January
994,2018-03-02,49,clarksville,TX,threat,not_fleeing,True,Male,B,unarmed,False,36 - 49,Friday,2018,19564.0,0.86,0.04,0.01,0.0,0.09,86.0,25.4,March
995,2018-03-02,49,clarksville,TX,threat,not_fleeing,True,Male,B,unarmed,False,36 - 49,Friday,2018,19564.0,0.86,0.04,0.01,0.0,0.09,77.0,25.4,March
