Geographic Area,City,percent_completed_hs
AK,Chicken CDP,
AK,Chisana CDP,
AK,Dot Lake CDP,
AK,Edna Bay city,
AK,Eureka Roadhouse CDP,
AK,Flat CDP,
AK,Healy Lake CDP,
AK,Hobart Bay CDP,
AK,Ivanof Bay CDP,
AK,Loring CDP,
AK,Mertarvik CDP,
AK,Nabesna CDP,
AK,Petersville CDP,
AK,Point Possession CDP,
AK,Pope-Vannoy Landing CDP,
AK,Portage Creek CDP,
AK,Susitna CDP,
AK,Tolsona CDP,
AK,Whitestone Logging Camp CDP,
AK,Alatna CDP,100
AK,Alcan Border CDP,100
AK,Attu Station CDP,100
AK,Bettles city,100
AK,Chenega CDP,100
AK,Chignik city,100
AK,Chiniak CDP,100
AK,Covenant Life CDP,100
AK,Crown Point CDP,100
AK,Dry Creek CDP,100
AK,Elfin Cove CDP,100
AK,False Pass city,100
AK,Ferry CDP,100
AK,Fort Greely CDP,100
AK,Fox CDP,100
AK,Game Creek CDP,100
AK,Halibut Cove CDP,100
AK,Hope CDP,100
AK,Kasilof CDP,100
AK,Kenny Lake CDP,100
AK,Kupreanof city,100
AK,Livengood CDP,100
AK,Lowell Point CDP,100
AK,Lutak CDP,100
AK,Mendeltna CDP,100
AK,Paxson CDP,100
AK,Pleasant Valley CDP,100
AK,Point Baker CDP,100
AK,Port Alexander city,100
AK,Port Clarence CDP,100
AK,Port Protection CDP,100
AK,Primrose CDP,100
AK,Skwentna CDP,100
AK,Sunrise CDP,100
AK,Tonsina CDP,100
AK,Two Rivers CDP,100
AK,Ugashik CDP,100
AK,Whale Pass CDP,100
AK,Willow Creek CDP,100
AK,Wiseman CDP,100
AK,Farmers Loop CDP,98.9
AK,Anderson city,98.6
AK,Nanwalek CDP,98
AK,Big Delta CDP,97.6
AK,Cold Bay city,97.5
AK,Salcha CDP,97.5
AK,Goldstream CDP,97.3
AK,Kodiak Station CDP,97.2
AK,Skagway CDP,97.2
AK,Lazy Mountain CDP,97.1
AK,McKinley Park CDP,97.1
AK,Diamond Ridge CDP,97
AK,Eielson AFB CDP,96.6
AK,Chena Ridge CDP,96.5
AK,Prudhoe Bay CDP,96.4
AK,Ridgeway CDP,96.4
AK,Kalifornsky CDP,96.3
AK,Badger CDP,96.2
AK,Gateway CDP,96.1
AK,Valdez city,96.1
AK,Homer city,95.9
AK,Tenakee Springs city,95.9
AK,Thorne Bay city,95.9
AK,Gustavus city,95.6
AK,Seldovia city,95.5
AK,Delta Junction city,95.4
AK,Haines CDP,95.4
AK,Mud Bay CDP,95.4
AK,Cooper Landing CDP,95.3
AK,Steele Creek CDP,95.3
AK,Lakes CDP,95.1
AK,Cantwell CDP,95
AK,Cohoe CDP,95
AK,Ester CDP,95
AK,College CDP,94.9
AK,Juneau city and borough,94.8
AK,Port Alsworth CDP,94.7
AK,Fishhook CDP,94.5
AK,Harding-Birch Lakes CDP,94.5
AK,Ninilchik CDP,94.5
AK,Sterling CDP,94.5
AK,Glennallen CDP,94.4
AK,Butte CDP,94.3
AK,Funny River CDP,94.3
AK,Trapper Creek CDP,94.3
AK,Anvik city,94.2
AK,Moose Pass CDP,94.1
AK,Womens Bay CDP,94.1
AK,Seward city,93.9
AK,Yakutat CDP,93.9
AK,Anchor Point CDP,93.8
AK,Deltana CDP,93.8
AK,McGrath city,93.7
AK,Dillingham city,93.6
AK,Healy CDP,93.6
AK,Naknek CDP,93.6
AK,Petersburg CDP,93.6
AK,Soldotna city,93.6
AK,Adak city,93.4
AK,Northway Junction CDP,93.3
AK,Tyonek CDP,93.3
AK,King Salmon CDP,93.2
AK,Port Graham CDP,93.2
AK,Unalakleet city,93.2
AK,Huslia city,93.1
AK,Anchorage municipality,93
AK,Knik River CDP,93
AK,Gakona CDP,92.9
AK,Newhalen city,92.8
AK,Sitka city and borough,92.8
AK,Fritz Creek CDP,92.7
AK,Hughes city,92.6
AK,Kachemak city,92.6
AK,Nome city,92.6
AK,Seldovia Village CDP,92.6
AK,Bear Creek CDP,92.5
AK,Farm Loop CDP,92.4
AK,Nikolski CDP,92.3
AK,Tanaina CDP,92.3
AK,North Pole city,92.1
AK,Chuathbaluk city,92
AK,Coffman Cove city,91.9
AK,Nikiski CDP,91.9
AK,Wasilla city,91.8
AK,Chickaloon CDP,91.7
AK,Cordova city,91.6
AK,Happy Valley CDP,91.4
AK,Palmer city,91.3
AK,Fairbanks city,91.2
AK,Gulkana CDP,91.2
AK,Knik-Fairview CDP,91.2
AK,Egegik city,91.1
AK,St. George city,91.1
AK,Whittier city,91.1
AK,Metlakatla CDP,91
AK,Tok CDP,91
AK,Pedro Bay CDP,90.9
AK,Red Dog Mine CDP,90.9
AK,Eagle city,90.7
AK,Silver Springs CDP,90.7
AK,Big Lake CDP,90.4
AK,Buffalo Soapstone CDP,90.4
AK,Golovin city,90.4
AK,Meadow Lakes CDP,90.4
AK,Igiugig CDP,90.3
AK,Glacier View CDP,90.2
AK,Houston city,90.2
AK,Kasaan city,90.2
AK,Wrangell city and borough,90.2
AK,Hydaburg city,90.1
AK,Tazlina CDP,90.1
AK,Port Heiden city,90
AK,Ketchikan city,89.9
AK,Kenai city,89.7
AK,Mosquito Lake CDP,89.6
AK,Atka city,89.5
AK,Hollis CDP,89.5
AK,Willow CDP,89.5
AK,Craig city,89.3
AK,Point MacKenzie CDP,89
AK,Chalkyitsik CDP,88.7
AK,Iliamna CDP,88.7
AK,Susitna North CDP,88.7
AK,Levelock CDP,88.6
AK,Talkeetna CDP,88.3
AK,Lake Minchumina CDP,88.2
AK,Deering city,88
AK,Hoonah city,87.7
AK,Manokotak city,87.5
AK,Salamatof CDP,87.5
AK,King Cove city,87.3
AK,Kodiak city,87.1
AK,Saxman city,87.1
AK,Shageluk city,87.1
AK,Elim city,86.9
AK,Angoon city,86.7
AK,Excursion Inlet CDP,86.7
AK,Manley Hot Springs CDP,86.7
AK,Klukwan CDP,86.5
AK,Galena city,86.4
AK,Kaltag city,86.4
AK,Northway CDP,86.3
AK,Tatitlek CDP,86.3
AK,Buckland city,86.2
AK,Klawock city,86.2
AK,Holy Cross city,86.1
AK,Tanana city,86.1
AK,Marshall city,86
AK,Bethel city,85.8
AK,Kake city,85.7
AK,Moose Creek CDP,85.6
AK,White Mountain city,85.4
AK,Karluk CDP,85
AK,Port Lions city,85
AK,Noatak CDP,84.9
AK,Copper Center CDP,84.8
AK,Nikolaevsk CDP,84.8
AK,Nondalton city,84.7
AK,Barrow city,84.6
AK,Sand Point city,84.6
AK,Kokhanok CDP,84.5
AK,Sutton-Alpine CDP,84.5
AK,Clam Gulch CDP,84.3
AK,Aleknagik city,84
AK,Chignik Lagoon CDP,84
AK,St. Mary's city,84
AK,Emmonak city,83.9
AK,Aniak city,83.8
AK,Point Hope city,83.6
AK,Ruby city,83.2
AK,Kotzebue city,82.9
AK,Chevak city,82.8
AK,Nulato city,82.8
AK,Takotna CDP,82.8
AK,Tetlin CDP,82.8
AK,Unalaska city,82.8
AK,Nelchina CDP,82.7
AK,Chitina CDP,82.6
AK,Eagle Village CDP,82.4
AK,Koyuk city,82.4
AK,Koyukuk city,82.4
AK,Central CDP,82.2
AK,St. Paul city,82.1
AK,South Van Horn CDP,82.1
AK,Tununak CDP,81.7
AK,Akiak city,81.3
AK,Anaktuvuk Pass city,80.9
AK,Crooked Creek CDP,80.8
AK,Wainwright city,80.8
AK,Shaktoolik city,80.6
AK,Mekoryuk city,80.2
AK,Chistochina CDP,80
AK,Stevens Village CDP,80
AK,Shishmaref city,79.9
AK,Kongiganak CDP,79.4
AK,Tanacross CDP,79.3
AK,St. Michael city,79.2
AK,Nenana city,78.9
AK,Kwigillingok CDP,78.8
AK,Ambler city,78.7
AK,Larsen Bay city,78.7
AK,Pelican city,78.7
AK,Evansville CDP,78.6
AK,Lower Kalskag city,78.5
AK,Brevig Mission city,78
AK,Wales city,78
AK,Mountain Village city,77.8
AK,Minto CDP,77.6
AK,Pitkas Point CDP,77.6
AK,Koliganek CDP,77.3
AK,Fort Yukon city,77.1
AK,Akiachak CDP,76.7
AK,Ouzinkie city,76.7
AK,Upper Kalskag city,76.6
AK,Kaktovik city,76.5
AK,Kipnuk CDP,76.4
AK,South Naknek CDP,76.4
AK,Nikolai city,76.3
AK,Russian Mission city,76.2
AK,Kiana city,76.1
AK,Napaskiak city,76
AK,Atqasuk city,75.9
AK,Kwethluk city,75.9
AK,New Stuyahok city,75.9
AK,Point Lay CDP,75.7
AK,Sleetmute CDP,75.6
AK,Toksook Bay city,75.6
AK,Noorvik city,75.3
AK,Togiak city,75.3
AK,Arctic Village CDP,75
AK,Hooper Bay city,75
AK,Scammon Bay city,74.9
AK,Twin Hills CDP,74.5
AK,McCarthy CDP,74.4
AK,Tuluksak CDP,74.4
AK,Chefornak city,74.3
AK,Stebbins city,74.3
AK,Clark's Point city,74.2
AK,Kotlik city,74.2
AK,Nunapitchuk city,73.6
AK,Old Harbor city,73.4
AK,Lake Louise CDP,73.3
AK,Slana CDP,73.1
AK,Akutan city,73
AK,Allakaket city,72.9
AK,Napakiak city,72.6
AK,Newtok CDP,72.6
AK,Pilot Station city,72.6
AK,Gambell city,72.4
AK,New Allakaket CDP,72.2
AK,Kobuk city,72.1
AK,Perryville CDP,71.7
AK,Grayling city,70.4
AK,Naukati Bay CDP,70.4
AK,Atmautluak CDP,70.2
AK,Mentasta Lake CDP,70.1
AK,Coldfoot CDP,70
AK,Whitestone CDP,69.9
AK,Beaver CDP,69.8
AK,Shungnak city,69.3
AK,Pilot Point city,68.8
AK,Eek city,68.7
AK,Chignik Lake CDP,68.2
AK,Kasigluk CDP,68.1
AK,Beluga CDP,66.7
AK,Platinum city,66.7
AK,Quinhagak city,66.7
AK,Red Devil CDP,66.7
AK,Nightmute city,66.4
AK,Selawik city,66.2
AK,Alakanuk city,65.4
AK,Chase CDP,65.2
AK,Nuiqsut city,65.2
AK,Teller city,65.2
AK,Dot Lake Village CDP,64.9
AK,Kivalina city,64.6
AK,Tuntutuliak CDP,64.1
AK,Diomede city,63.6
AK,Ekwok city,63.4
AK,Northway Village CDP,62.9
AK,Akhiok city,62.5
AK,Venetie CDP,62.4
AK,Nunam Iqua city,62.3
AK,Savoonga city,61.4
AK,Oscarville CDP,60
AK,Goodnews Bay city,58.6
AK,Nelson Lagoon CDP,57.5
AK,Circle CDP,54.3
AK,Hyder CDP,53.8
AK,Four Mile Road CDP,50
AK,Stony River CDP,50
AK,Fox River CDP,37.9
AK,Lime Village CDP,28.6
AK,Aleneva CDP,0
AK,Birch Creek CDP,0
AK,Rampart CDP,0
AL,Whatley CDP,
AL,Benton town,100
AL,Bucks CDP,100
AL,Catherine CDP,100
AL,Dayton town,100
AL,Sims Chapel CDP,100
AL,Spring Garden CDP,100
AL,Tibbie CDP,100
AL,Shoal Creek CDP,99.6
AL,Mountain Brook city,99.5
AL,Leroy CDP,99.3
AL,Fort Rucker CDP,98.8
AL,Helena city,97.7
AL,Blue Ridge CDP,97.6
AL,Highland Lakes CDP,97.6
AL,Vestavia Hills city,97.3
AL,Indian Springs Village city,97.2
AL,Peterman CDP,97.2
AL,Lillian CDP,96.6
AL,Deatsville town,96.3
AL,Trussville city,96.3
AL,Brook Highland CDP,96.2
AL,Eunola CDP,96.1
AL,Daphne city,95.8
AL,Dauphin Island town,95.8
AL,McIntosh town,95.8
AL,Pike Road town,95.8
AL,Spanish Fort city,95.8
AL,Lake View town,95.7
AL,Madison city,95.7
AL,White Plains CDP,95.7
AL,Blue Springs town,95.6
AL,Fairhope city,95.4
AL,Hoover city,95.2
AL,Hackneyville CDP,95.1
AL,Auburn city,94.3
AL,Highland Lake town,94.3
AL,Meadowbrook CDP,94
AL,Nanafalia CDP,94
AL,Redstone Arsenal CDP,94
AL,Morrison Crossroads CDP,93.8
AL,Trinity town,93.7
AL,Chelsea city,93.5
AL,Forestdale CDP,93.5
AL,Homewood city,93.5
AL,Cullomburg CDP,93.4
AL,Fruitdale CDP,93.3
AL,Pinson city,93.2
AL,Gulf Shores city,92.9
AL,Smoke Rise CDP,92.7
AL,Orange Beach city,92.6
AL,Margaret town,92.5
AL,Mount Olive CDP (Jefferson County),92.5
AL,Rainbow City city,92.5
AL,Sweet Water town,92.5
AL,Lakeview town,92.3
AL,Clay city,92.2
AL,Gardendale city,92.2
AL,Pelham city,92.2
AL,Cuba town,92.1
AL,Belle Fontaine CDP,91.9
AL,Hartselle city,91.9
AL,Redland CDP,91.8
AL,Satsuma city,91.8
AL,St. Florian town,91.7
AL,Union Grove town,91.7
AL,Foley city,91.5
AL,East Point CDP,91.4
AL,Concord CDP,91.3
AL,Level Plains town,91.3
AL,Millbrook city,91.3
AL,Stockton CDP,91.3
AL,Chunchula CDP,91.2
AL,Eva town,91.2
AL,Pleasant Grove city,91.1
AL,Springville city,91.1
AL,Moores Mill CDP,91
AL,Priceville town,91
AL,Coats Bend CDP,90.9
AL,Emerald Mountain CDP,90.9
AL,Dutton town,90.6
AL,Harvest CDP,90.6
AL,Pine Level CDP,90.5
AL,Providence town,90.5
AL,Grayson Valley CDP,90.4
AL,Holly Pond town,90.4
AL,Southside city,90.3
AL,Huntsville city,90.2
AL,Lowndesboro town,90.2
AL,Midfield city,90.2
AL,Northport city,90.2
AL,Malcolm CDP,90.1
AL,Black town,90
AL,Prattville city,89.9
AL,Loachapoka town,89.5
AL,Woodstock town,89.5
AL,Choccolocco CDP,89.4
AL,Kimberly city,89.4
AL,Alabaster city,89.3
AL,Silverhill town,89.3
AL,Thomaston town,89.3
AL,Coker town,89.2
AL,Enterprise city,89.2
AL,Grant town,89.2
AL,Hokes Bluff city,89.2
AL,Beatrice town,89.1
AL,Calera city,89.1
AL,Demopolis city,89.1
AL,Magnolia Springs town,89.1
AL,Pine Hill town,89.1
AL,Point Clear CDP,89.1
AL,Jacksonville city,89
AL,Lester town,89
AL,Fairfield city,88.9
AL,Minor CDP,88.9
AL,Tallassee city,88.9
AL,Alexandria CDP,88.8
AL,Muscle Shoals city,88.7
AL,Sardis City town,88.7
AL,Fredonia CDP,88.6
AL,Pinckard town,88.6
AL,Maytown town,88.4
AL,West Jefferson town,88.3
AL,Coaling town,88.2
AL,Hazel Green CDP,88.2
AL,St. Stephens CDP,88.2
AL,Headland city,88.1
AL,Vance town,88
AL,Wilsonville town,88
AL,Beaverton town,87.9
AL,Moody city,87.9
AL,Carolina town,87.8
AL,Daviston town,87.8
AL,Arab city,87.6
AL,Argo town,87.5
AL,Lincoln city,87.5
AL,Mentone town,87.5
AL,Irondale city,87.4
AL,Mount Olive CDP (Coosa County),87.3
AL,Munford town,87.3
AL,Tuscaloosa city,87.3
AL,Gulfcrest CDP,87.2
AL,Gu-Win town,87.2
AL,Leeds city,87.2
AL,Center Point city,87.1
AL,Killen town,87.1
AL,Lexington town,87.1
AL,Linden city,87.1
AL,Belgreen CDP,87
AL,Delta CDP,87
AL,Edwardsville town,87
AL,Riverside town,87
AL,Mobile city,86.9
AL,New Market CDP,86.9
AL,Sylvan Springs town,86.9
AL,Warrior city,86.9
AL,West Point town,86.9
AL,Winfield city,86.8
AL,Goldville town,86.7
AL,Owens Cross Roads town,86.7
AL,Glencoe city,86.6
AL,Meridianville CDP,86.6
AL,Montevallo city,86.6
AL,Bellamy CDP,86.5
AL,Good Hope town,86.5
AL,Hueytown city,86.5
AL,Pell City city,86.5
AL,Petrey town,86.5
AL,Ranburne town,86.5
AL,Woodland town,86.4
AL,Deer Park CDP,86.3
AL,Perdido Beach town,86.3
AL,Dothan city,86.2
AL,Tuscumbia city,86.2
AL,Millry town,86.1
AL,Cowarts town,86
AL,Excel town,86
AL,Livingston city,86
AL,Valley Grande city,85.9
AL,Elberta town,85.8
AL,Grove Hill town,85.8
AL,Jackson city,85.8
AL,Anderson town,85.7
AL,Bon Air town,85.7
AL,Faunsdale town,85.7
AL,Gantt town,85.6
AL,Holtville CDP,85.6
AL,Reece City town,85.6
AL,Toxey town,85.6
AL,Montgomery city,85.5
AL,Saraland city,85.4
AL,Theodore CDP,85.4
AL,Clayhatchee town,85.3
AL,Cullman city,85.3
AL,Daleville city,85.3
AL,Jasper city,85.3
AL,Loxley town,85.3
AL,Summerdale town,85.3
AL,Rock Creek CDP,85.2
AL,Westover town,85.2
AL,Birmingham city,85.1
AL,Brantleyville CDP,85.1
AL,Fultondale city,85.1
AL,Langston town,85.1
AL,Sumiton city,85.1
AL,Franklin town,85
AL,Pleasant Groves town,85
AL,Wetumpka city,85
AL,Egypt CDP,84.9
AL,Morris town,84.9
AL,Rehobeth town,84.9
AL,Valley city,84.9
AL,Glenwood town,84.8
AL,Phenix City city,84.8
AL,Grand Bay CDP,84.6
AL,Wilton town,84.6
AL,Brewton city,84.5
AL,Grimes town,84.5
AL,Creola city,84.4
AL,Florence city,84.4
AL,Ladonia CDP,84.4
AL,Whitesboro CDP,84.4
AL,Coosada town,84.3
AL,New Hope city,84.3
AL,Eclectic town,84.2
AL,Geraldine town,84.2
AL,Edgewater CDP,84.1
AL,Stapleton CDP,84.1
AL,New Union CDP,84
AL,County Line town,83.9
AL,Weaver city,83.9
AL,Gilbertown town,83.8
AL,Marbury CDP,83.8
AL,Uriah CDP,83.8
AL,Cusseta town,83.7
AL,Fyffe town,83.7
AL,Gallant CDP,83.7
AL,Needham town,83.7
AL,Opelika city,83.7
AL,Troy city,83.7
AL,East Brewton city,83.6
AL,Sylvania town,83.6
AL,Taylor town,83.6
AL,Tuskegee city,83.6
AL,Ashford town,83.5
AL,Oxford city,83.5
AL,Athens city,83.4
AL,Hayden town,83.4
AL,Hatton CDP,83.2
AL,Sipsey town,83.2
AL,Town Creek town,83.2
AL,Brookwood town,83.1
AL,Guntersville city,83.1
AL,Mooresville town,83.1
AL,Ray CDP,82.9
AL,Avon town,82.8
AL,Camden city,82.8
AL,Decatur city,82.7
AL,Hamilton city,82.7
AL,Kennedy town,82.6
AL,Citronelle city,82.5
AL,Ozark city,82.5
AL,Sylacauga city,82.5
AL,Thomasville city,82.4
AL,Dora city,82.3
AL,Lookout Mountain CDP,82.3
AL,Monroeville city,82.3
AL,Newton town,82.3
AL,Pollard town,82.3
AL,Rainsville city,82.3
AL,Lockhart town,82.2
AL,New Site town,82.1
AL,Tillmans Corner CDP,82.1
AL,Fairview town,82
AL,Ohatchee town,82
AL,Locust Fork town,81.9
AL,Movico CDP,81.9
AL,Rogersville town,81.9
AL,Littleville town,81.8
AL,Scottsboro city,81.8
AL,Dodge City town,81.7
AL,Centreville city,81.6
AL,Epes town,81.6
AL,Stevenson city,81.6
AL,Bessemer city,81.5
AL,Eufaula city,81.5
AL,Pine Apple town,81.5
AL,Addison town,81.4
AL,Macedonia CDP,81.4
AL,Marion city,81.4
AL,Triana town,81.4
AL,Rosa town,81.3
AL,Babbie town,81.2
AL,Andalusia city,81.1
AL,Vernon city,81
AL,Cherokee town,80.9
AL,Mount Vernon town,80.8
AL,Sand Rock town,80.8
AL,Trafford town,80.8
AL,Harpersville town,80.7
AL,Notasulga town,80.7
AL,Thorsby town,80.7
AL,Arley town,80.6
AL,Ethelsville town,80.6
AL,Tidmore Bend CDP,80.6
AL,Ider town,80.5
AL,Leesburg town,80.5
AL,Gordo town,80.4
AL,Ballplay CDP,80.3
AL,Heath town,80.3
AL,Smiths Station city,80.3
AL,Snead town,80.3
AL,Butler town,80.2
AL,Napier Field town,80.2
AL,Talladega Springs town,80.1
AL,Haleburg town,80
AL,Axis CDP,79.9
AL,Boligee town,79.9
AL,Chickasaw city,79.9
AL,Robertsdale city,79.9
AL,West Blocton town,79.9
AL,Anniston city,79.8
AL,Cordova city,79.8
AL,Garden City town,79.8
AL,Graysville city,79.8
AL,New Brockton town,79.8
AL,Courtland town,79.6
AL,Florala town,79.6
AL,Millport town,79.6
AL,Sheffield city,79.5
AL,Reform town,79.4
AL,Emelle town,79.3
AL,Huguley CDP,79.3
AL,Midland City town,79.3
AL,Evergreen city,79.2
AL,Moulton city,79.2
AL,Red Level town,79.2
AL,Bay Minette city,79.1
AL,Dozier town,79.1
AL,Fayette city,79.1
AL,Nances Creek CDP,79.1
AL,South Vinemont town,79.1
AL,Bon Secour CDP,79
AL,Columbia town,79
AL,Adamsville city,78.9
AL,Shelby CDP,78.9
AL,Childersburg city,78.8
AL,Brookside town,78.7
AL,Pisgah town,78.7
AL,Steele town,78.7
AL,Brighton city,78.6
AL,Our Town CDP,78.6
AL,Saks CDP,78.6
AL,Tarrant city,78.6
AL,Douglas town,78.5
AL,Perdido CDP,78.5
AL,Phil Campbell town,78.5
AL,Prichard city,78.5
AL,Reeltown CDP,78.5
AL,Gaylesville town,78.4
AL,Greenville city,78.4
AL,Somerville town,78.4
AL,Gadsden city,78.3
AL,Nectar town,78.3
AL,Elkmont town,78.2
AL,Alexander City city,78.1
AL,Geneva city,78.1
AL,Selmont-West Selmont CDP,78.1
AL,Coffee Springs town,78
AL,Webb town,78
AL,Ashland town,77.9
AL,Cedar Bluff town,77.9
AL,Luverne city,77.9
AL,Jemison city,77.8
AL,Lineville city,77.8
AL,Selma city,77.8
AL,Ardmore town,77.7
AL,Hanceville city,77.7
AL,Woodville town,77.7
AL,Ashville city,77.6
AL,Twin town,77.6
AL,Paint Rock town,77.5
AL,Vincent town,77.5
AL,Opp city,77.4
AL,Flomaton town,77.3
AL,Frisco City town,77.3
AL,Hobson City town,77.3
AL,Libertyville town,77.3
AL,Maplesville town,77.3
AL,Moundville town,77.3
AL,Semmes city,77.3
AL,Brundidge city,77.2
AL,Lanett city,77.2
AL,Roanoke city,77.2
AL,Red Bay city,77.1
AL,Underwood-Petersville CDP,77.1
AL,York city,77.1
AL,Carlton CDP,77
AL,Colony town,77
AL,Ivalee CDP,77
AL,Elba city,76.9
AL,Clanton city,76.8
AL,Piedmont city,76.8
AL,Bear Creek town,76.7
AL,Centre city,76.7
AL,Gainesville town,76.7
AL,Boaz city,76.6
AL,Camp Hill town,76.6
AL,Section town,76.6
AL,Spruce Pine CDP,76.6
AL,Glen Allen town,76.5
AL,Hackleburg town,76.5
AL,Odenville town,76.4
AL,Cottonwood town,76.3
AL,Union town,76.2
AL,Gordonville town,76.1
AL,Attalla city,76
AL,Chatom town,76
AL,Dunnavant CDP,76
AL,Fulton town,76
AL,Brilliant town,75.9
AL,Castleberry town,75.9
AL,Kinsey town,75.9
AL,Vandiver CDP,75.9
AL,Fruithurst town,75.8
AL,Waldo town,75.8
AL,Valley Head town,75.7
AL,North Johns town,75.6
AL,Shiloh town,75.6
AL,McKenzie town,75.5
AL,Riverview town,75.5
AL,Slocomb city,75.5
AL,Guin city,75.4
AL,Skyline town,75.4
AL,Hurtsboro town,75.3
AL,Parrish town,75.3
AL,Mignon CDP,75.2
AL,Brantley town,75.1
AL,Eldridge town,75
AL,Greensboro city,75
AL,Holt CDP,75
AL,Susan Moore town,75
AL,Bridgeport city,74.9
AL,Cottondale CDP,74.9
AL,Lynn town,74.8
AL,Baileyton town,74.7
AL,Hillsboro town,74.6
AL,Newbern town,74.6
AL,Double Springs town,74.5
AL,Gurley town,74.5
AL,Hammondville town,74.5
AL,Cleveland town,74.4
AL,Columbiana city,74.4
AL,Aliceville city,74.3
AL,Heflin city,74.3
AL,Forkland town,74.1
AL,Waverly town,74.1
AL,Graham CDP,74
AL,Malvern town,74
AL,Sulligent city,74
AL,Oneonta city,73.9
AL,Ragland town,73.9
AL,Talladega city,73.9
AL,Wadley town,73.9
AL,Brent city,73.8
AL,Hissop CDP,73.8
AL,Atmore city,73.7
AL,Dadeville city,73.7
AL,Stewartville CDP,73.7
AL,Waterloo town,73.6
AL,Vredenburgh town,73.5
AL,Eutaw town,73.2
AL,Blountsville town,73.1
AL,Carlisle-Rockledge CDP,73.1
AL,Sanford town,73.1
AL,Banks town,73
AL,Newville town,73
AL,Oak Grove town,73
AL,Putnam CDP,72.8
AL,Albertville city,72.7
AL,Cardiff town,72.7
AL,Myrtlewood town,72.5
AL,Bakerhill town,72.4
AL,Oakman town,72.2
AL,Hayneville town,72.1
AL,Mulga town,72
AL,Leighton town,71.9
AL,Coffeeville town,71.7
AL,Henagar city,71.7
AL,Goodwater town,71.6
AL,Hollis Crossroads CDP,71.4
AL,Orrville town,71.4
AL,Ariton town,71.3
AL,Billingsley town,71.3
AL,Geiger town,71.3
AL,Hollywood town,71.3
AL,Kellyton town,71.3
AL,North Courtland town,71.3
AL,Autaugaville town,71.2
AL,Goshen town,71.2
AL,Georgiana town,71.1
AL,Carrollton town,71
AL,Lipscomb city,71
AL,Haleyville city,70.7
AL,Millerville CDP,70.7
AL,Hartford city,70.6
AL,Hytop town,70.6
AL,Madrid town,70.6
AL,Elmore town,70.5
AL,Fort Deposit town,70.5
AL,Crossville town,70.4
AL,Rock Mills CDP,70.4
AL,Wedowee town,70.1
AL,Pickensville town,70
AL,Pennington town,69.9
AL,Rutledge town,69.8
AL,La Fayette city,69.7
AL,Ridgeville town,69.6
AL,Kinston town,69.5
AL,Hodges town,69.3
AL,Abbeville city,69.1
AL,Russellville city,68.9
AL,Akron town,68.6
AL,Fayetteville CDP,68.5
AL,Rockford town,68.4
AL,Shorter town,68.4
AL,Walnut Grove town,68.4
AL,Hollins CDP,68.2
AL,West End-Cobb Town CDP,68.1
AL,Fort Payne city,67.7
AL,Joppa CDP,67.3
AL,Lisman town,67.2
AL,Nauvoo town,67.2
AL,Jacksons' Gap town,67.1
AL,Altoona town,66.9
AL,Gordon town,66.8
AL,White Hall town,66.6
AL,Kansas town,66.4
AL,Horn Hill town,66.3
AL,Broomtown CDP,66.2
AL,Uniontown town,66.1
AL,Silas town,66
AL,Louisville town,65.7
AL,Natural Bridge town,65.7
AL,Samson city,65.7
AL,Berry town,65.4
AL,Carbon Hill city,65.4
AL,Bristow Cove CDP,65.1
AL,Falkville town,65.1
AL,Detroit town,64.8
AL,Rockville CDP,64.7
AL,River Falls town,64.6
AL,Vinegar Bend CDP,64.5
AL,Sterrett CDP,64.1
AL,Belk town,63.8
AL,Hobson CDP,63.6
AL,Clio city,63.1
AL,Yellow Bluff town,62
AL,Five Points town,61.9
AL,Standing Rock CDP,61.4
AL,Powell town,61.2
AL,Fitzpatrick CDP,60.7
AL,Onycha town,60.5
AL,Mosses town,60.4
AL,McDonald Chapel CDP,60.3
AL,Bayou La Batre city,58.5
AL,Midway town,58.3
AL,Repton town,58
AL,Clayton town,57.8
AL,Fairford CDP,57.6
AL,Vina town,57.3
AL,Union Springs city,57.1
AL,Weogufka CDP,56.3
AL,Pine Ridge town,54.6
AL,Boykin CDP,53.7
AL,Megargel CDP,53.1
AL,Collinsville town,52
AL,Penton CDP,51.2
AL,Allgood town,48.1
AL,McMullen town,40
AL,Panola CDP,38.1
AL,Memphis town,29.4
AL,Oak Hill town,27.3
AL,Calvert CDP,22.8
AL,Abanda CDP,21.2
AR,Cherokee City CDP,100
AR,Maysville CDP,100
AR,Scott CDP,100
AR,Wiederkehr Village city,100
AR,Cammack Village city,99
AR,Natural Steps CDP,97.7
AR,Maumelle city,96.9
AR,Goshen town,96.3
AR,Hot Springs Village CDP,96.2
AR,South Lead Hill town,96.2
AR,Austin city,95.9
AR,Oden town,95.8
AR,Holiday Island CDP,95.4
AR,Tontitown city,95.4
AR,College City city,95.3
AR,Ozan town,95
AR,Patmos town,95
AR,Bella Vista city,94.7
AR,Vilonia city,94.7
AR,Lonsdale town,94.6
AR,Rockwell CDP,94.5
AR,Corinth town,94.2
AR,Fairfield Bay city,94.2
AR,Caddo Valley town,94
AR,Sherwood city,93.9
AR,Oil Trough town,93.8
AR,Lost Bridge Village CDP,93.7
AR,Greenwood city,93.6
AR,Woodlawn CDP,93.6
AR,Bryant city,93.5
AR,Gilbert town,93.5
AR,Bull Shoals city,93.4
AR,Salem CDP,93.4
AR,Fargo town,93.2
